name;watts;price;rating;interfacename
Kingston HyperX Predator 2x 4GB DDR4-3200 (HX432C16PB3K2/16);20;66;3;ddr4
Kingston HyperX Predator 2x 8GB DDR4-3200 (HX432C16PB3K2/16);20;90;4;ddr4
Kingston HyperX Predator 2x 16GB DDR4-3200 (HX432C16PB3K2/16);30;180;5;ddr4
Kingston HyperX Predator 2x 16GB DDR4-3600 (HX432C16PB3K2/16);40;220;7;ddr4
Corsair Vengeance LPX 2x 4GB DDR4-3000 (CMK16GX4M2B3000C15);25;76;3;ddr4
Corsair Vengeance LPX 2x 8GB DDR4-3000 (CMK16GX4M2B3000C15);25;106;4;ddr4
Corsair Vengeance LPX 2x 16GB DDR4-3000 (CMK16GX4M2B3000C15);35;189;5;ddr4
Corsair Vengeance LPX 2x 16GB DDR4-3600 (CMK16GX4M2B3000C15);45;219;7;ddr4
G.Skill RipJaws 4 2x 4GB DDR4-3000 (F4-3000C15D-16GRK);25;69;3;ddr4
G.Skill RipJaws 4 2x 8GB DDR4-3000 (F4-3000C15D-16GRK);35;99;4;ddr4
G.Skill RipJaws 4 2x 16GB DDR4-3000 (F4-3000C15D-16GRK);35;119;5;ddr4
G.Skill RipJaws 4 2x 16GB DDR4-4000 (F4-3000C15D-16GRK);45;249;7;ddr4
Intenso Desktop Pro 2x 4GB DDR4-2133 (5641162);15;49;3;ddr4
Intenso Desktop Pro 2x 8GB DDR4-2133 (5641162);20;69;4;ddr4
Intenso Desktop Pro 2x 16GB DDR4-2133 (5641162);20;139;5;ddr4
Intenso Desktop Pro 2x 16GB DDR4-3200 (5641162);30;189;7;ddr4
